location,location_state,attraction,time,price,rating
Amritsar,Punjab,Golden Temple,3,0,4.5
Amritsar,Punjab,Wagah Border,3,0,4.4
Amritsar,Punjab,Jallianwala Bagh,2,0,4.4
Amritsar,Punjab,Partition Museum,3,20,4
Amritsar,Punjab,Harike Wetland and Bird Sanctuary,3,0,4
Amritsar,Punjab,Maharaja Ranjit Singh Museum,2,50,3.5
Amritsar,Punjab,Punjab State War Heroes Memorial and Museum,2,100,4
Amritsar,Punjab,Mata Lal Devi Mandir,2,0,4
Amritsar,Punjab,Akal Takht,1,0,4
Amritsar,Punjab,Gobindgarh Fort,5,500,4
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Cellular Jail,4,1000,4.5
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Radhanagar Beach,3,500,4.6
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Elephant Beach,4,800,4.8
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Mount Harriet National Park,4,100,4.3
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Chidiya Tapu,2,0,4.3
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Ross Island,24,600,4.4
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatpur Beach,3,0,4.3
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Night Kayaking in Andaman,2,1500,4.4
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Mahatma Gandhi Marine National Park,2,300,3.5
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Seakart in Andaman,2,1300,4
Chennai,Tamil Nadu,Marina Beach,3,0,4.3
Chennai,Tamil Nadu,Government Museum,2,0,4
Chennai,Tamil Nadu,Breezy Beach,2,0,3.6
Chennai,Tamil Nadu,Marundeeswarar Temple,2,0,4.3
Chennai,Tamil Nadu,Arignar Anna Zoological Park,4,200,4.2
Chennai,Tamil Nadu,Valluvar Kottam,2,10,4.2
Chennai,Tamil Nadu,Ashatalakshmi Temple ,2,0,4.2
